num,district_J,district_E,candidate_J,candidate_yomi,candidate_E,outcome
0,北海道,Hokkaido,森山佳則,もりやま よしのり,Moriyama Yoshinori,0.0
1,北海道,Hokkaido,高橋はるみ,たかはし はるみ,Takahashi Harumi,1.0
2,北海道,Hokkaido,畠山和也,はたやま かずや,Hatayama Kazuya,0.0
3,北海道,Hokkaido,岩瀬清次,いわせ せいじ,Iwase Seiji,0.0
4,北海道,Hokkaido,岩本剛人,いわもと つよひと,Iwamoto Tsuyohito,1.0
5,北海道,Hokkaido,勝部賢志,かつべ けんじ,Katsube Kenji,1.0
6,北海道,Hokkaido,中村治,なかむら おさむ,Nakamura Osamu,0.0
7,北海道,Hokkaido,原谷那美,はらや なみ,Haraya Nami,0.0
8,北海道,Hokkaido,山本貴平,やまもと たかひら,Yamamoto Takahira,0.0
9,青森,Aomori,小山日奈子,こやま ひなこ,Koyama Hinako,0.0
10,青森,Aomori,滝沢求,たきさわ もとめ,Takisawa Motome,1.0
11,青森,Aomori,小田切達,おだぎり さとる,Odagiri Satoru,0.0
12,岩手,Iwate,横沢高徳,よこさわ たかのり,Yokosawa Takanori,0.0
13,岩手,Iwate,平野達男,ひらの たつお,Hirano Tatsuo,1.0
14,岩手,Iwate,梶谷秀一,かじたに しゅういち,Kajitani Shuuichi,0.0
15,宮城,Miyagi,三宅紀昭,みやけ のりあき,Miyake Noriaki,0.0
16,宮城,Miyagi,愛知治郎,あいち じろう,Aichi Jirou,1.0
17,宮城,Miyagi,石垣のりこ,いしがき のりこ,Ishigaki Noriko,0.0
18,秋田,Akita,中泉松司,なかいずみ まつじ,Nakaizumi Matsuji,1.0
19,秋田,Akita,寺田静,てらた しずか,Terata Shizuka,0.0
20,秋田,Akita,石岡隆治,いしおか りゅうじ,Ishioka Ryuuji,0.0
21,山形,Yamagata,大沼瑞穂,おおぬま みずほ,Oonuma Mizuho,1.0
22,山形,Yamagata,芳賀道也,はが みちや,Haga Michiya,0.0
23,山形,Yamagata,小野沢健至,おのざわ たけし,Onozawa Takeshi,0.0
24,福島,Fukushima,森雅子,もり まさこ,Mori Masako,1.0
25,福島,Fukushima,水野さちこ,みずの さちこ,Mizuno Sachiko,0.0
26,福島,Fukushima,田山雅仁,たやま まさひと,Tayama Masahito,0.0
27,茨城,Ibaraki,田中健,たなか けん,Tanaka Ken,0.0
28,茨城,Ibaraki,海野徹,うみの とおる,Umino Tooru,0.0
29,茨城,Ibaraki,小沼巧,おぬま たくみ,Onuma Takumi,1.0
30,茨城,Ibaraki,大内久美子,おおうち くみこ,Oouchi Kumiko,0.0
31,茨城,Ibaraki,上月良祐,こうづき りょうすけ,Kouduki Ryousuke,1.0
32,栃木,Tochigi,町田紀光,まちだ としみつ,Machida Toshimitsu,0.0
33,栃木,Tochigi,高橋克法,たかはし かつのり,Takahashi Katsunori,1.0
34,栃木,Tochigi,加藤千穂,かとう ちほ,Katou Chiho,0.0
35,群馬,Gunma,清水真人,しみず まさと,Shimizu Masato,1.0
36,群馬,Gunma,斉藤敦子,さいとう あつこ,Saitou Atsuko,0.0
37,群馬,Gunma,前田みか子,まえだ みかこ,Maeda Mikako,0.0
38,埼玉,Saitama,宍戸千絵,ししど ちえ,Shishido Chie,1.0
39,埼玉,Saitama,伊藤岳,いとう がく,Itou Gaku,0.0
40,埼玉,Saitama,矢倉克夫,やくら かつお,Yakura Katsuo,1.0
41,埼玉,Saitama,沢田良,さわだ りょう,Sawada Ryou,0.0
42,埼玉,Saitama,鮫島良司,さめじま りょうじ,Samejima Ryouji,0.0
43,埼玉,Saitama,熊谷裕人,くまがい ひろと,Kumagai Hiroto,0.0
44,埼玉,Saitama,古川俊治,ふるかわ としはる,Furukawa Toshiharu,1.0
45,埼玉,Saitama,小島一郎,こじま いちろう,Kojima Ichirou,0.0
46,埼玉,Saitama,佐藤恵理子,さとう えりぃ,Satou Erii,1.0
47,千葉,Chiba,石井準一,いしい じゅんいち,Ishii Junichi,1.0
48,千葉,Chiba,長浜博行,ながはま ひろゆき,Nagahama Hiroyuki,1.0
49,千葉,Chiba,豊田俊郎,とよだ としろう,Toyoda Toshirou,1.0
50,千葉,Chiba,門田正則,かどた まさのり,Kadota Masanori,0.0
51,千葉,Chiba,浅野史子,あさの ふみこ,Asano Fumiko,0.0
52,千葉,Chiba,平塚正幸,ひらつか まさゆき,Hiratsuka Masayuki,0.0
53,東京,Tokyo,丸川珠代,まるかわ たまよ,Marukawa Tamayo,1.0
54,東京,Tokyo,塩村文夏,しおむら あやか,Shiomura Ayaka,0.0
55,東京,Tokyo,武見敬三,たけみ けいぞう,Takemi Keizou,1.0
56,東京,Tokyo,山口那津男,やまぐち なつお,Yamaguchi Natsuo,1.0
57,東京,Tokyo,溝口晃一,みぞぐち こういち,Mizoguchi Kouichi,0.0
58,東京,Tokyo,森純,もり きよし,Mori Kiyoshi,0.0
59,東京,Tokyo,山岸一生,やまぎし いっせい,Yamagishi Issei,1.0
60,東京,Tokyo,吉良佳子,きら よしこ,Kira Yoshiko,1.0
61,東京,Tokyo,水野素子,みずの もとこ,Mizuno Motoko,0.0
62,東京,Tokyo,関口安弘,せきぐち やすひろ,Sekiguchi Yasuhiro,0.0
63,東京,Tokyo,佐藤均,さとう ひとし,Satou Hitoshi,0.0
64,東京,Tokyo,朝倉玲子,あさくら れいこ,Asakura Reiko,0.0
65,東京,Tokyo,音喜多駿,おときた しゅん,Otokita Shun,0.0
66,東京,Tokyo,七海ひろこ,ななみ ひろこ,Nanami Hiroko,0.0
67,東京,Tokyo,横山昌弘,よこやま まさひろ,Yokoyama Masahiro,0.0
68,東京,Tokyo,野原善正,のはら よしまさ,Nohara Yoshimasa,0.0
69,東京,Tokyo,西野貞吉,にしの ていきち,Nishino Teikichi,0.0
70,東京,Tokyo,大橋昌信,おおはし まさのぶ,Oohashi Masanobu,0.0
71,東京,Tokyo,大塚紀久雄,おおつか きくお,Ootsuka Kikuo,0.0
72,東京,Tokyo,野末陳平,のずえ ちんぺい,Nozue Chinpei,1.0
73,神奈川,Kanagawa,乃木涼介,のぎ りょうすけ,Nogi Ryousuke,0.0
74,神奈川,Kanagawa,佐々木さやか,ささき さやか,Sasaki Sayaka,1.0
75,神奈川,Kanagawa,相原倫子,あいはら りんこ,Aihara Rinko,0.0
76,神奈川,Kanagawa,壹岐愛子,いき あいこ,Iki Aiko,0.0
77,神奈川,Kanagawa,渋谷貢,しぶや みつぎ,Shibuya Mitsugi,0.0
78,神奈川,Kanagawa,森下正勝,もりした まさかつ,Morishita Masakatsu,0.0
79,神奈川,Kanagawa,圷孝行,あくつ たかゆき,Akutsu Takayuki,0.0
80,神奈川,Kanagawa,牧山弘恵,まきやま ひろえ,Makiyama Hiroe,1.0
81,神奈川,Kanagawa,林大祐,はやし だいすけ,Hayashi Daisuke,0.0
82,神奈川,Kanagawa,加藤友行,かとう ともゆき,Katou Tomoyuki,0.0
83,神奈川,Kanagawa,島村大,しまむら だい,Shimamura Dai,1.0
84,神奈川,Kanagawa,浅賀由香,あさか ゆか,Asaka Yuka,0.0
85,神奈川,Kanagawa,松沢成文,まつざわ しげふみ,Matsuzawa Shigefumi,1.0
86,神奈川,Kanagawa,榎本太志,えのもと たいし,Enomoto Taishi,0.0
87,新潟,Niigata,打越さく良,うちこし さくら,Uchikoshi Sakura,0.0
88,新潟,Niigata,塚田一郎,つかだ いちろう,Tsukada Ichirou,1.0
89,新潟,Niigata,小島糾史,こじま ただふみ,Kojima Tadafumi,0.0
90,富山,Toyama,西尾政英,にしお まさえい,Nishio Masaei,0.0
91,富山,Toyama,堂故茂,どうこ しげる,Douko Shigeru,1.0
92,石川,Ishikawa,山田修路,やまだ しゅうじ,Yamada Shuuji,1.0
93,石川,Ishikawa,田辺徹,たなべ とおる,Tanabe Tooru,0.0
94,福井,Fukui,山田和雄,やまだ かずお,Yamada Kazuo,0.0
95,福井,Fukui,嶋谷昌美,しまたに まさみ,Shimatani Masami,0.0
96,福井,Fukui,滝波宏文,たきなみ ひろふみ,Takinami Hirofumi,1.0
97,山梨,Yamanashi,森屋宏,もりや ひろし,Moriya Hiroshi,1.0
98,山梨,Yamanashi,市来伴子,いちき ともこ,Ichiki Tomoko,0.0
99,山梨,Yamanashi,猪野恵司,いの けいじ,Ino Keiji,0.0
100,長野,Nagano,羽田雄一郎,はた ゆういちろう,Hata Yuuichirou,1.0
101,長野,Nagano,斉藤好明,さいとう よしあき,Saitou Yoshiaki,0.0
102,長野,Nagano,小松裕,こまつ ゆたか,Komatsu Yutaka,0.0
103,長野,Nagano,古谷孝,ふるや たかし,Furuya Takashi,0.0
104,岐阜,Gifu,大野泰正,おおの やすただ,Oono Yasutada,1.0
105,岐阜,Gifu,梅村慎一,うめむら しんいち,Umemura Shinichi,0.0
106,岐阜,Gifu,坂本雅彦,さかもと まさひこ,Sakamoto Masahiko,0.0
107,静岡,Shizuoka,牧野京夫,まきの たかお,Makino Takao,1.0
108,静岡,Shizuoka,徳川家広,とくがわ いえひろ,Tokugawa Iehiro,0.0
109,静岡,Shizuoka,榛葉賀津也,しんば かづや,Shimba Kazuya,1.0
110,静岡,Shizuoka,鈴木千佳,すずき ちか,Suzuki Chika,0.0
111,静岡,Shizuoka,畑山浩一,はたやま こういち,Hatayama Kouichi,0.0
112,愛知,Aichi,安江伸夫,やすえ のぶお,Yasue Nobuo,1.0
113,愛知,Aichi,橋本勉,はしもと べん,Hashimoto Ben,0.0
114,愛知,Aichi,大塚耕平,おおつか こうへい,Ootsuka Kouhei,1.0
115,愛知,Aichi,須山初美,すやま はつみ,Suyama Hatsumi,0.0
116,愛知,Aichi,古川均,ふるかわ ひとし,Furukawa Hitoshi,0.0
117,愛知,Aichi,平山良平,ひらやま りょうへい,Hirayama Ryouhei,0.0
118,愛知,Aichi,石井均,いしい ひとし,Ishii Hitoshi,1.0
119,愛知,Aichi,岬麻紀,みさき まき,Misaki Maki,0.0
120,愛知,Aichi,酒井庸行,さかい やすゆき,Sakai Yasuyuki,1.0
121,愛知,Aichi,田島麻衣子,たじま まいこ,Tajima Maiko,0.0
122,愛知,Aichi,牛田宏幸,うしだ ひろゆき,Ushida Hiroyuki,0.0
123,愛知,Aichi,末永友香梨,すえなが ゆかり,Suenaga Yukari,0.0
124,三重,Mie,吉川有美,よしかわ ゆうみ,Yoshikawa Yuumi,1.0
125,三重,Mie,門田節代,かどた せつよ,Kadota Setsuyo,0.0
126,三重,Mie,芳野正英,よしの まさひで,Yoshino Masahide,0.0
127,滋賀,Shiga,服部修,はっとり おさむ,Hattori Osamu,0.0
128,滋賀,Shiga,嘉田由紀子,かだ ゆきこ,Kada Yukiko,0.0
129,滋賀,Shiga,二之湯武史,にのゆ たけし,Ninoyu Takeshi,1.0
130,京都,Kyoto,三上隆,みかみ たかし,Mikami Takashi,0.0
131,京都,Kyoto,西田昌司,にしだ しょうじ,Nishida Shouji,1.0
132,京都,Kyoto,倉林明子,くらばやし あきこ,Kurabayashi Akiko,1.0
133,京都,Kyoto,増原裕子,ますはら ひろこ,Masuhara Hiroko,0.0
134,京都,Kyoto,山田彰久,やまだ あきひさ,Yamada Akihisa,0.0
135,大阪,Osaka,浜田健,はまだ たけし,Hamada Takeshi,0.0
136,大阪,Osaka,太田房江,おおた ふさえ,Oota Fusae,1.0
137,大阪,Osaka,東徹,あずま とおる,Azuma Tooru,1.0
138,大阪,Osaka,足立美生代,あだち みきよ,Adachi Mikiyo,0.0
139,大阪,Osaka,亀石倫子,かめいし みちこ,Kameishi Michiko,0.0
140,大阪,Osaka,にしゃんた,にしゃんた,Nishantha,0.0
141,大阪,Osaka,杉久武,すぎ ひさたけ,Sugi Hisatake,1.0
142,大阪,Osaka,梅村みずほ,うめむら みずほ,Umemura Mizuho,0.0
143,大阪,Osaka,尾崎全紀,おざき まさのり,Ozaki Masanori,0.0
144,大阪,Osaka,数森圭吾,かずもり けいご,Kazumori Keigo,0.0
145,大阪,Osaka,辰巳孝太郎,たつみ こうたろう,Tatsumi Koutarou,1.0
146,大阪,Osaka,佐々木一郎,ささき いちろう,Sasaki Ichirou,0.0
147,兵庫,Hyogo,原博義,はら ひろよし,Hara Hiroyoshi,0.0
148,兵庫,Hyogo,高橋光男,たかはし みつお,Takahashi Mitsuo,1.0
149,兵庫,Hyogo,安田真理,やすだ まり,Yasuda Mari,0.0
150,兵庫,Hyogo,加田裕之,かだ ひろゆき,Kada Hiroyuki,1.0
151,兵庫,Hyogo,清水貴之,しみず たかゆき,Shimizu Takayuki,1.0
152,兵庫,Hyogo,金田峰生,かねだ みねお,Kaneda Mineo,0.0
153,奈良,Nara,田中孝子,たなか たかこ,Tanaka Takako,0.0
154,奈良,Nara,堀井巌,ほりい いわお,Horii Iwao,1.0
155,奈良,Nara,西田一美,にしだ かずみ,Nishida Kazumi,0.0
156,和歌山,Wakayama,藤井幹雄,ふじい みきお,Fujii Mikio,0.0
157,和歌山,Wakayama,世耕弘成,せこう ひろしげ,Sekou Hiroshige,1.0
158,鳥取・島根,Tottori/Shimane,舞立昇治,まいたち しょうじ,Maitachi Shouji,1.0
159,鳥取・島根,Tottori/Shimane,中林佳子,なかばやし よしこ,Nakabayashi Yoshiko,0.0
160,鳥取・島根,Tottori/Shimane,黒瀬信明,くろせ のぶあき,Kurose Nobuaki,0.0
161,岡山,Okayama,石井正弘,いしい まさひろ,Ishii Masahiro,1.0
162,岡山,Okayama,原田謙介,はらだ けんすけ,Harada Kensuke,0.0
163,岡山,Okayama,越智寛之,おち ひろゆき,Ochi Hiroyuki,0.0
164,広島,Hiroshima,河井案里,かわい あんり,Kawai Anri,0.0
165,広島,Hiroshima,泉安政,いずみ やすまさ,Izumi Yasumasa,0.0
166,広島,Hiroshima,玉田憲勲,たまだ のりたか,Tamada Noritaka,0.0
167,広島,Hiroshima,高見篤己,たかみ あつみ,Takami Atsumi,0.0
168,広島,Hiroshima,加陽輝実,かよう てるみ,Kayou Terumi,0.0
169,広島,Hiroshima,森本真治,もりもと しんじ,Morimoto Shinji,1.0
170,広島,Hiroshima,溝手顕正,みぞて けんせい,Mizote Kensei,1.0
171,山口,Yamaguchi,林芳正,はやし よしまさ,Hayashi Yoshimasa,1.0
172,山口,Yamaguchi,竹本秀之,たけもと ひでゆき,Takemoto Hideyuki,0.0
173,山口,Yamaguchi,河井美和子,かわい みわこ,Kawai Miwako,0.0
174,山口,Yamaguchi,大内一也,おおうち かずや,Oouchi Kazuya,0.0
175,徳島・高知,Tokushima/Kochi,石川新一郎,いしかわ しんいちろう,Ishikawa Shinichirou,0.0
176,徳島・高知,Tokushima/Kochi,高野光二郎,たかの こうじろう,Takano Koujirou,1.0
177,徳島・高知,Tokushima/Kochi,松本顕治,まつもと けんじ,Matsumoto Kenji,0.0
178,徳島・高知,Tokushima/Kochi,野村秀邦,のむら ひでくに,Nomura Hidekuni,0.0
179,香川,Kagawa,尾田美和子,おだ みわこ,Oda Miwako,0.0
180,香川,Kagawa,三宅伸吾,みやけ しんご,Miyake Shingo,1.0
181,香川,Kagawa,田中邦明,たなか くにあき,Tanaka Kuniaki,0.0
182,愛媛,Ehime,らくさぶろう,らくさぶろう,Rakusaburou,0.0
183,愛媛,Ehime,永江孝子,ながえ たかこ,Nagae Takako,1.0
184,愛媛,Ehime,椋本薫,むくもと かおる,Mukumoto Kaoru,0.0
185,福岡,Fukuoka,春田久美子,はるた くみこ,Haruta Kumiko,1.0
186,福岡,Fukuoka,川口尚宏,かわぐち なおひろ,Kawaguchi Naohiro,0.0
187,福岡,Fukuoka,河野祥子,かわの しょうこ,Kawano Shouko,0.0
188,福岡,Fukuoka,浜武振一,はまたけ しんいち,Hamatake Shinichi,0.0
189,福岡,Fukuoka,下野六太,しもの ろくた,Shimono Rokuta,0.0
190,福岡,Fukuoka,本藤昭子,ほんどう あきこ,Hondou Akiko,0.0
191,福岡,Fukuoka,野田国義,のだ くによし,Noda Kuniyoshi,1.0
192,福岡,Fukuoka,江夏正敏,えなつ まさとし,Enatsu Masatoshi,0.0
193,福岡,Fukuoka,松山政司,まつやま まさじ,Matsuyama Masaji,1.0
194,佐賀,Saga,山下雄平,やました ゆうへい,Yamashita Yuuhei,1.0
195,佐賀,Saga,犬塚直史,いぬづか ただし,Inuduka Tadashi,0.0
196,長崎,Nagasaki,古賀友一郎,こが ゆういちろう,Koga Yuuichirou,1.0
197,長崎,Nagasaki,白川鮎美,しらかわ あゆみ,Shirakawa Ayumi,0.0
198,長崎,Nagasaki,神谷幸太郎,かみや こうたろう,Kamiya Koutarou,0.0
199,熊本,Kumamoto,馬場成志,ばば せいし,Baba Seishi,1.0
200,熊本,Kumamoto,阿部広美,あべ ひろみ,Abe Hiromi,0.0
201,熊本,Kumamoto,最勝寺辰也,さいしょうじ しんや,Saishouji Shinya,0.0
202,大分,Oita,礒崎陽輔,いそざき ようすけ,Isozaki Yousuke,1.0
203,大分,Oita,安達澄,あだち きよし,Adachi Kiyoshi,0.0
204,大分,Oita,牧原慶一郎,まきはら けいいちろう,Makihara Keiichirou,0.0
205,宮崎,Miyazaki,長峯誠,ながみね まこと,Nagamine Makoto,1.0
206,宮崎,Miyazaki,河野一郎,こうの いちろう,Kouno Ichirou,0.0
207,宮崎,Miyazaki,園生裕造,そのう ゆうぞう,Sonou Yuuzou,0.0
208,鹿児島,Kagoshima,前田終止,まえだ しゅうじ,Maeda Shuuji,0.0
209,鹿児島,Kagoshima,合原千尋,ごうはら ちひろ,Gouhara Chihiro,0.0
210,鹿児島,Kagoshima,尾辻秀久,おつじ ひでひさ,Otsuji Hidehisa,1.0
211,沖縄,Okinawa,安里繁信,あさと しげのぶ,Asato Shigenobu,1.0
212,沖縄,Okinawa,高良鉄美,たから てつみ,Takara Tetsumi,0.0
213,沖縄,Okinawa,磯山秀夫,いそやま ひでお,Isoyama Hideo,0.0
214,沖縄,Okinawa,玉利朝輝,たまり ともてる,Tamari Tomoteru,0.0
