名,姓,年度,年齢,当選,当選回数,推薦・支持,政党,新旧,略歴,選挙区,選挙方法,得票数,得票数(割合),東京からの距離,政党_世論,定員,推薦政党_世論,地方議席数_割合
里江,吉田,2013,47,0,0,0,民主,新,海外インターンシップ仲介会社長〈元〉参院議員秘書▽英ウェールズ大院,岐阜,選挙区,218074,25.59,271.3,8.0,1,0.0,36.95652173913043
正典,鈴木,2013,49,0,0,0,共産,新,党県常任委員〈元〉赤旗記者・岐阜大生協労組執行委員長▽岐阜大,岐阜,選挙区,115503,13.56,271.3,3.7,1,0.0,4.3478260869565215
有輝彦,加納,2013,52,0,0,0,諸派,新,幸福実現党県政調会長〈元〉酒造会社員・幸福の科学職員▽岐阜高専,岐阜,選挙区,17893,2.1,271.3,0.0,1,0.0,0.0
京夫,牧野,2013,54,1,1,公明,自民,現,〈元〉参院災対特別委員長・参院国交委員長・県議・テレビ静岡記者▽早大,静岡,選挙区,634789,41.54,142.8,42.5,2,5.3,72.46376811594203
賀津也,榛葉,2013,46,1,2,0,民主,現,党県会長〈元〉外務副大臣・防衛副大臣・菊川町議▽米オタバイン大,静岡,選挙区,458095,29.98,142.8,8.0,2,0.0,34.78260869565217
唯記子,鈴木,2013,38,0,0,0,みんな,新,歯科技工士・党政治塾生▽浜松市立高,静岡,選挙区,187055,12.24,142.8,3.1,2,0.0,1.4492753623188406
飛竜,望月,2013,43,0,0,0,維新,新,精密機械部品製造会社長〈元〉維新政治塾生▽法大院在学,静岡,選挙区,119109,7.79,142.8,2.7,2,0.0,0.0
大介,森,2013,44,0,0,0,共産,新,党県常任委員・党国会議員団県事務所長▽日本福祉大,静岡,選挙区,115411,7.55,142.8,3.7,2,0.0,0.0
雄太,中野,2013,39,0,0,0,諸派,新,幸福実現党県幹事長・幸福の科学支部長〈元〉党県代表▽早大院,静岡,選挙区,13692,0.9,142.8,0.0,2,0.0,0.0
庸行,酒井,2013,61,1,0,公明,自民,新,党県政調会長〈元〉県議・刈谷市農業委員・刈谷市議▽日大,愛知,選挙区,1056145,35.39,259.1,42.5,3,5.3,45.63106796116505
耕平,大塚,2013,53,1,2,0,民主,現,党政調副会長〈元〉厚労副大臣・日本銀行国会渉外課調査役▽早大院,愛知,選挙区,741598,24.85,259.1,8.0,3,0.0,24.271844660194176
道代,薬師寺,2013,49,1,0,0,みんな,新,医師・愛知みずほ大院特任教授▽東京女医大,愛知,選挙区,347411,11.64,259.1,3.1,3,0.0,0.0
伸子,本村,2013,40,0,0,0,共産,新,党県常任委員〈元〉参院議員秘書・新日本婦人の会県職員▽龍谷大院,愛知,選挙区,271278,9.09,259.1,3.7,3,0.0,0.0
浩,近藤,2013,52,0,0,0,維新,新,介護会社役員〈元〉衆院議員・県議▽米ノースイースタン大中退,愛知,選挙区,263918,8.84,259.1,2.7,3,0.0,0.0
幸生,宇田,2013,40,0,0,0,諸派,新,減税日本副代表・弁護士・愛知大法科大学院非常勤講師▽関西大,愛知,選挙区,152038,5.1,259.1,0.0,3,0.0,0.0
裕美,中根,2013,39,0,0,0,諸派,新,幸福実現党員・保育士▽平安女学院短大,愛知,選挙区,30199,1.01,259.1,0.0,3,0.0,0.0
宗三郎,身玉山,2013,40,0,0,0,諸派,新,行政書士〈元〉ＪＩＣＡ調査員・ＪＩＣＡ青年海外協力隊員▽神戸大院在学,愛知,選挙区,11277,0.38,259.1,0.0,3,0.0,0.0
誠,平山,2013,61,0,0,生活,みどり,現,党国対委員長〈元〉新党日本総務局長・番組制作会社長▽埼玉県川越工高,愛知,選挙区,62985,2.11,259.1,0.1,3,0.5,0.0
善規,伊藤,2013,64,0,0,0,社民,新,党県幹事長・家具工房主宰〈元〉党春日井支部長・長久手町議▽春日井高,愛知,選挙区,47104,1.58,259.1,0.9,3,0.0,0.0
有美,吉川,2013,39,1,0,公明,自民,新,〈元〉三井住友銀行員・第三者認証機関社員▽東京農工大院,三重,選挙区,373035,44.23,308.7,42.5,1,5.3,72.54901960784314
千秋,高橋,2013,56,0,2,0,民主,現,党政策調査会長代理〈元〉外務副大臣・広告会社員・県経済連職員▽明大,三重,選挙区,317261,37.62,308.7,8.0,1,0.0,41.17647058823529
浩紹,深尾,2013,50,0,0,0,維新,新,経営大学院教授〈元〉ソフトウエア開発会社員▽同志社大,三重,選挙区,70779,8.39,308.7,2.7,1,0.0,0.0
民英,中川,2013,45,0,0,0,共産,新,党県委員・党地区常任委員〈元〉食品会社員▽茨城大院,三重,選挙区,59231,7.02,308.7,3.7,1,0.0,0.0
伸太郎,大津,2013,48,0,0,0,無所,新,〈元〉警備会社員・畳製造会社員・中学教諭▽大阪教大,三重,選挙区,14858,1.76,308.7,0.0,1,0.0,29.411764705882355
俊介,小川,2013,41,0,0,0,諸派,新,幸福実現党員・幸福の科学支部長〈元〉財団法人職員▽帝京大,三重,選挙区,8233,0.98,308.7,0.0,1,0.0,0.0
武史,二之湯,2013,36,1,0,公明,自民,新,進学塾社長〈元〉桜美林大国際学研究所研究員・稲盛財団フェロー▽京大,滋賀,選挙区,305872,53.42,355.7,42.5,1,5.3,89.36170212765957
久志,徳永,2013,50,0,0,0,民主,現,党県代表代行〈元〉参院拉致問題特別委員長・外務政務官・県議▽早大,滋賀,選挙区,167399,29.24,355.7,8.0,1,0.0,53.191489361702125
五久男,坪田,2013,54,0,0,0,共産,新,党県常任委員・農事組合法人理事〈元〉中学校教諭・小学校教諭▽滋賀大,滋賀,選挙区,86587,15.12,355.7,3.7,1,0.0,0.0
雅司,荒川,2013,38,0,0,0,諸派,新,幸福の科学滋賀本部巡回支部長〈元〉京滋本部広報部長▽福井大,滋賀,選挙区,12731,2.22,355.7,0.0,1,0.0,0.0
昌司,西田,2013,54,1,1,公明,自民,現,税理士・参院財政金融委理事〈元〉党参院国対副委員長・府議▽滋賀大,京都,選挙区,390577,36.95,365.3,42.5,2,5.3,68.33333333333333
明子,倉林,2013,52,1,0,0,共産,新,党中央委員〈元〉京都市議・府議・看護師▽京都市立看護短大,京都,選挙区,219273,20.75,365.3,3.7,2,0.0,30.0
圭朗,北神,2013,46,0,0,0,民主,新,〈元〉首相補佐官・衆院議員・経産政務官・大蔵省職員▽京大,京都,選挙区,201297,19.04,365.3,8.0,2,0.0,41.66666666666667
成介,山内,2013,47,0,0,0,維新,新,〈元〉不動産販売管理会社長・任天堂社員▽京大,京都,選挙区,164825,15.59,365.3,2.7,2,0.0,0.0
陽子,木下,2013,33,0,0,0,みんな,新,飲食店経営会社役員〈元〉日本ソムリエ協会関西支部委員▽米オハイオ大,京都,選挙区,71983,6.81,365.3,3.1,2,0.0,0.0
周作,曽我,2013,34,0,0,0,諸派,新,幸福実現党員〈元〉関電工社員▽大阪教大,京都,選挙区,6119,0.58,365.3,0.0,2,0.0,0.0
伸夫,新藤,2013,64,0,0,0,諸派,新,打出党代表・マンション経営会社長〈元〉大阪府立高校教諭▽京大,京都,選挙区,2906,0.27,365.3,0.0,2,0.0,0.0
徹,東,2013,46,1,0,0,維新,新,党総務会長〈元〉府議・福祉専門学校講師・衆院議員秘書▽東洋大院,大阪,選挙区,1056815,28.83,395.9,2.7,4,0.0,46.788990825688074
卓治,柳本,2013,68,1,0,0,自民,新,〈元〉党府特別顧問・衆院議員・大阪市議▽早大院,大阪,選挙区,817943,22.31,395.9,42.5,4,0.0,10.091743119266056
久武,杉,2013,37,1,0,0,公明,新,公認会計士・党青年局次長▽創価大,大阪,選挙区,697219,19.02,395.9,5.3,4,0.0,17.431192660550458
孝太郎,辰巳,2013,36,1,0,0,共産,新,党府くらし雇用対策委員長〈元〉地域団体事務局員▽米エマーソン大,大阪,選挙区,468904,12.79,395.9,3.7,4,0.0,2.7522935779816518
聡,梅村,2013,38,0,0,0,民主,現,医師・党府代表代行〈元〉厚労政務官▽阪大,大阪,選挙区,337378,9.2,395.9,8.0,4,0.0,8.256880733944955
肇,安座間,2013,35,0,0,0,みんな,新,ホテル運営会社員〈元〉政治家秘書・団体職員▽龍谷大,大阪,選挙区,157969,4.31,395.9,3.1,4,0.0,0.0
美華,吉羽,2013,32,0,0,0,大地,新,〈元〉民主党支部長・寝屋川市議▽関西学院大,大阪,選挙区,56573,1.54,395.9,0.0,4,0.0,0.0
利久,藤島,2013,51,0,0,0,無所,新,政治団体代表〈元〉衆院議員秘書・さきがけ高知総務局長▽東海大中退,大阪,選挙区,20928,0.57,395.9,0.0,4,0.0,2.7522935779816518
忠,長嶺,2013,52,0,0,0,無所,新,〈元〉三洋電機社員▽米ボストン大院,大阪,選挙区,17671,0.48,395.9,0.0,4,0.0,2.7522935779816518
勝,中村,2013,62,0,0,0,諸派,新,二十一世紀日本維新会代表・建設会社長〈元〉阪大事務職員▽立命大,大阪,選挙区,20155,0.55,395.9,0.0,4,0.0,0.0
悦宏,森,2013,46,0,0,0,諸派,新,幸福の科学職員・幸福実現党府副代表▽関西大,大阪,選挙区,14178,0.39,395.9,0.0,4,0.0,0.0
祥肇,鴻池,2013,72,1,3,公明,自民,現,〈元〉官房副長官・防災担当相・衆院議員・日本青年会議所会頭▽早大,兵庫,選挙区,868069,37.78,425.2,42.5,2,5.3,32.58426966292135
貴之,清水,2013,39,1,0,0,維新,新,〈元〉テレビリポーター・朝日放送アナウンサー▽早大,兵庫,選挙区,598630,26.05,425.2,2.7,2,0.0,0.0
泰弘,辻,2013,57,0,1,0,民主,現,党県常任顧問〈元〉厚労副大臣・医療経済研究機構部長・民社党職員▽東大,兵庫,選挙区,343551,14.95,425.2,8.0,2,0.0,21.34831460674157
峰生,金田,2013,47,0,0,0,共産,新,党県常任委員〈元〉参院議員秘書・県議▽日本福祉大,兵庫,選挙区,220577,9.6,425.2,3.7,2,0.0,5.617977528089887
英里子,下村,2013,30,0,0,0,みんな,新,介護事業会社長〈元〉党職員▽立教大院,兵庫,選挙区,174132,7.58,425.2,3.1,2,0.0,1.1235955056179776
なみほ,松本,2013,39,0,0,0,諸派,新,環境政策指導業・緑の党運営委員・県温暖化防止推進員▽神戸市外大,兵庫,選挙区,58032,2.53,425.2,0.0,2,0.0,0.0
侑子,湊,2013,30,0,0,0,諸派,新,幸福実現党職員〈元〉ＨＳ政経塾生・党和歌山県副代表▽関西学院大,兵庫,選挙区,34827,1.52,425.2,0.0,2,0.0,0.0
巌,堀井,2013,47,1,0,公明,自民,新,〈元〉総務省給与能率推進室長・岡山県総務部長・内閣官房職員▽東大,奈良,選挙区,354658,58.63,368.7,42.5,1,5.3,102.27272727272727
孝典,大西,2013,57,0,0,0,民主,新,党県副代表〈元〉衆院議員・党職員・衆院議員秘書・林業▽上智大,奈良,選挙区,139680,23.09,368.7,8.0,1,0.0,40.909090909090914
和広,谷川,2013,34,0,0,0,共産,新,党県青年学生部事務局長〈元〉民青同盟県委員長・レジャー会社員▽大谷大,奈良,選挙区,91704,15.16,368.7,3.7,1,0.0,25.0
孝子,田中,2013,58,0,0,0,諸派,新,幸福の科学職員・幸福実現党県副代表〈元〉ハローワーク相談員▽早大,奈良,選挙区,18907,3.13,368.7,0.0,1,0.0,0.0
弘成,世耕,2013,50,1,3,公明,自民,現,官房副長官〈元〉首相補佐官・ＮＴＴ社員▽早大,和歌山,選挙区,337477,77.25,443.9,42.5,1,5.3,145.23809523809524
矢寸久,原,2013,61,0,0,0,共産,新,党県副委員長〈元〉党地区委員長▽立命大中退,和歌山,選挙区,83172,19.04,443.9,3.7,1,0.0,21.428571428571427
美也子,久保,2013,52,0,0,0,諸派,新,幸福の科学職員・幸福実現党県副代表▽和歌山経理専門学校,和歌山,選挙区,16187,3.71,443.9,0.0,1,0.0,0.0
昇治,舞立,2013,37,1,0,公明,自民,新,〈元〉総務省職員・新潟県財政課長・山口県下関市財政部長▽東大,鳥取,選挙区,160783,58.25,494.6,42.5,1,5.3,128.57142857142858
義博,川上,2013,62,0,0,0,民主,現,〈元〉首相補佐官・党県代表・自民党組織局次長・衆院議員・県議▽青学大,鳥取,選挙区,82717,29.97,494.6,8.0,1,0.0,48.57142857142857
尚之,岩永,2013,56,0,0,0,共産,新,党県書記長〈元〉党地区委員長・民青県役員・鳥取医療生協職員▽鳥取大,鳥取,選挙区,19600,7.1,494.6,3.7,1,0.0,14.285714285714285
由里子,吉岡,2013,46,0,0,0,諸派,新,幸福実現党員〈元〉小学校教諭・養護学校教諭・小学校講師▽京都教育大,鳥取,選挙区,6782,2.46,494.6,0.0,1,0.0,0.0
洋,井上,2013,64,0,0,0,無所,新,貿易コンサルタント業〈元〉貿易商社員▽東京経大,鳥取,選挙区,6158,2.23,494.6,0.0,1,0.0,22.857142857142858
三郎,島田,2013,57,1,0,公明,自民,新,社会福祉法人理事長〈元〉県議・党県総務会長・衆院議員秘書▽青学大,島根,選挙区,202181,57.84,602.3,42.5,1,5.3,129.72972972972974
亜紀子,亀井,2013,48,0,0,社民,みどり,現,党幹事長〈元〉国民新党政調会長・衆院議員秘書▽学習院大,島根,選挙区,115043,32.91,602.3,0.1,1,0.9,0.0
慎一,向瀬,2013,42,0,0,0,共産,新,党地区副委員長・党県委員〈元〉日本民主青年同盟県委員長▽山形大院,島根,選挙区,26255,7.51,602.3,3.7,1,0.0,13.513513513513514
節子,池田,2013,57,0,0,0,諸派,新,幸福実現党員・教育団体県代表〈元〉仁多町農協職員▽横田高,島根,選挙区,6054,1.73,602.3,0.0,1,0.0,0.0
正弘,石井,2013,67,1,0,公明,自民,新,〈元〉知事・建設省大臣官房審議官・大臣官房文書課長▽東大,岡山,選挙区,490727,65.47,536.6,42.5,1,5.3,107.14285714285714
崇志,高井,2013,43,0,0,民主 / 社民 / みど,無所,新,〈元〉民主党県幹事長・衆院議員・総務省職員・県情報政策課長▽東大,岡山,選挙区,180864,24.13,536.6,0.0,1,0.0,17.857142857142858
京美,垣内,2013,46,0,0,0,共産,新,党准中央委員・党県女性部長〈元〉岡山民報記者▽岡山大,岡山,選挙区,65455,8.73,536.6,3.7,1,0.0,5.357142857142857
園枝,安原,2013,51,0,0,0,諸派,新,幸福実現党員〈元〉党県代表・ゴム製品会社員▽享栄タイピスト専門学校,岡山,選挙区,12517,1.67,536.6,0.0,1,0.0,0.0
顕正,溝手,2013,70,1,4,公明,自民,現,党参院幹事長・党税調副会長〈元〉防災担当相・旧三原市長▽東大,広島,選挙区,521794,46.28,675.1,42.5,2,5.3,72.72727272727273
真治,森本,2013,40,1,0,0,民主,新,党県副代表・茶道講師〈元〉広島市議・松下政経塾生▽同志社大,広島,選挙区,194358,17.24,675.1,8.0,2,0.0,15.151515151515152
香奈,灰岡,2013,30,0,0,0,維新,新,広島修道大同窓会評議員〈元〉山口県和木町議▽広島修道大,広島,選挙区,173266,15.37,675.1,2.7,2,0.0,0.0
公治,佐藤,2013,53,0,0,みど,生活,現,党参院幹事長〈元〉民主党県代表・衆院議員・衆院議員秘書▽慶大,広島,選挙区,137327,12.18,675.1,0.5,2,0.0,0.0
恵史,皆川,2013,69,0,0,0,共産,新,党県副委員長〈元〉広島市議・党県職員・法律事務所職員▽広島大,広島,選挙区,86145,7.64,675.1,3.7,2,0.0,1.5151515151515151
順子,日高,2013,50,0,0,0,諸派,新,幸福実現党県副代表〈元〉保育士▽奈良文化女短大,広島,選挙区,14621,1.3,675.1,0.0,2,0.0,0.0
芳正,林,2013,52,1,3,公明,自民,現,農水相〈元〉経済財政相・防衛相・三井物産社員▽米ハーバード大院,山口,選挙区,455546,79.36,769.0,42.5,1,5.3,112.24489795918366
直子,藤井,2013,61,0,0,0,共産,新,党県委員〈元〉周南市議・徳山市議・学童保育指導員▽立命大,山口,選挙区,95480,16.63,769.0,3.7,1,0.0,8.16326530612245
美和子,河井,2013,50,0,0,0,諸派,新,幸福の科学職員・幸福実現党県副代表〈元〉明治安田生命社員▽明星大,山口,選挙区,22986,4.0,769.0,0.0,1,0.0,0.0
亨,三木,2013,46,1,0,公明,自民,新,党県副幹事長〈元〉県議・食品加工製造販売会社員▽中大,徳島,選挙区,179127,57.52,502.5,42.5,1,5.3,124.39024390243902
智司,中谷,2013,44,0,0,0,民主,現,参院農水委員長・党県代表〈元〉ＩＴ関連会社員▽徳島大院,徳島,選挙区,90498,29.06,502.5,8.0,1,0.0,21.951219512195124
恭子,上村,2013,55,0,0,0,共産,新,党県常任委員・党県女性部長〈元〉看護師・民青同盟県常任委員▽徳島大,徳島,選挙区,29733,9.55,502.5,3.7,1,0.0,17.073170731707318
由佳,小松,2013,31,0,0,0,諸派,新,幸福の科学職員・ＨＳ政経塾生▽一橋大,徳島,選挙区,12037,3.87,502.5,0.0,1,0.0,0.0
伸吾,三宅,2013,51,1,0,公明,自民,新,〈元〉日本経済新聞編集委員▽東大院,香川,選挙区,233270,56.05,536.7,42.5,1,5.3,158.53658536585365
恵美子,植松,2013,45,0,0,0,無所,現,温泉宿泊施設運営会社長〈元〉参院予算委理事・民主党政調副会長▽神戸大,香川,選挙区,142407,34.22,536.7,0.0,1,0.0,7.317073170731707
健一,田辺,2013,32,0,0,0,共産,新,党県常任委員・党県青年学生対策部長〈元〉民青同盟県委員▽香川大,香川,選挙区,34602,8.31,536.7,3.7,1,0.0,9.75609756097561
利恵,中西,2013,50,0,0,0,諸派,新,幸福の科学職員・幸福実現党県副代表・建設会社役員▽国土建設学院,香川,選挙区,5932,1.43,536.7,0.0,1,0.0,0.0
巧,井原,2013,49,1,0,公明,自民,新,茶道裏千家淡交会支部長〈元〉四国中央市長・県議・衆院議員秘書▽専修大,愛媛,選挙区,373047,66.6,666.1,42.5,1,5.3,134.04255319148936
佳代子,藤岡,2013,47,0,0,0,みんな,新,〈元〉県結婚支援センター員・出版会社員・民放リポーター▽松山商大,愛媛,選挙区,102913,18.37,666.1,3.1,1,0.0,0.0
正勝,植木,2013,60,0,0,0,共産,新,党県常任委員〈元〉日用品販売業・周桑民主商工会副会長▽高知大,愛媛,選挙区,61385,10.96,666.1,3.7,1,0.0,4.25531914893617
浩二,森田,2013,53,0,0,0,諸派,新,幸福実現党県副代表・幸福の科学巡回支部長▽関西大,愛媛,選挙区,14147,2.53,666.1,0.0,1,0.0,0.0
昭浩,郡,2013,52,0,0,0,無所,新,〈元〉塾講師▽早大,愛媛,選挙区,8612,1.54,666.1,0.0,1,0.0,19.148936170212767
光二郎,高野,2013,38,1,0,公明,自民,新,旅館運営会社役員・県舗装協会顧問〈元〉県議・衆院議員秘書▽東京農大,高知,選挙区,159709,52.86,612.2,42.5,1,5.3,76.92307692307693
百合子,浜川,2013,33,0,0,0,共産,新,党県常任委員〈元〉党県議団事務局長・民青同盟中央委員▽高知大,高知,選挙区,72939,24.14,612.2,3.7,1,0.0,30.76923076923077
則男,武内,2013,54,0,0,0,民主,現,党県代表・参院厚労委員長〈元〉高知市議・高知市職員▽高知工高,高知,選挙区,65236,21.59,612.2,8.0,1,0.0,5.128205128205128
毅,橋詰,2013,50,0,0,0,諸派,新,幸福の科学巡回支部長〈元〉生協職員▽中大,高知,選挙区,4268,1.41,612.2,0.0,1,0.0,0.0
政司,松山,2013,54,1,2,公明,自民,現,外務副大臣・党県会長〈元〉建設会社長・日本青年会議所会頭▽明大,福岡,選挙区,958042,49.23,880.6,42.5,2,5.3,54.65116279069767
国義,野田,2013,55,1,0,生活,民主,新,党県副代表〈元〉衆院議員・八女市長・衆院議員秘書▽日大,福岡,選挙区,348250,17.9,880.6,8.0,2,0.5,26.744186046511626
俊之,吉田,2013,57,0,0,0,維新,新,〈元〉九州朝日放送記者▽早大,福岡,選挙区,222180,11.42,880.6,2.7,2,0.0,0.0
省三,真島,2013,50,0,0,0,共産,新,党県副委員長〈元〉県議・民青地区委員長▽九州工大中退,福岡,選挙区,207101,10.64,880.6,3.7,2,0.0,0.0
輝生,古賀,2013,49,0,0,0,みんな,新,〈元〉化粧品等製造販売会社長・ペット用品会社長・広告会社員▽法大,福岡,選挙区,176396,9.06,880.6,3.1,2,0.0,0.0
和枝,吉冨,2013,54,0,0,0,諸派,新,幸福実現党員・子ども支援団体地区代表〈元〉小学校教諭▽九州女短大,福岡,選挙区,34090,1.75,880.6,0.0,2,0.0,0.0
雄平,山下,2013,33,1,0,公明,自民,新,〈元〉日本経済新聞記者・時事通信記者▽慶大,佐賀,選挙区,223810,64.64,904.0,42.5,1,5.3,186.8421052631579
一功,青木,2013,37,0,0,0,民主,新,党県副代表〈元〉衆院議員秘書・医療法人役員▽米ショアライン短大中退,佐賀,選挙区,83447,24.1,904.0,8.0,1,0.0,26.31578947368421
泰稔,上村,2013,48,0,0,0,共産,新,党県常任委員〈元〉党県書記長・民青県常任委員▽佐賀大中退,佐賀,選挙区,30920,8.93,904.0,3.7,1,0.0,5.263157894736842
徹,中島,2013,39,0,0,0,諸派,新,幸福の科学職員・幸福実現党県副代表〈元〉建築資材メーカー社員▽福岡大,佐賀,選挙区,8067,2.33,904.0,0.0,1,0.0,0.0
友一郎,古賀,2013,45,1,0,公明,自民,新,〈元〉長崎市副市長・総務省高齢対策室長▽東大,長崎,選挙区,359805,59.23,961.7,42.5,1,5.3,93.47826086956522
潔重,大久保,2013,47,0,0,みど,民主,現,歯科医師・党県代表代行〈元〉県議・小沢一郎政治塾生▽長崎大,長崎,選挙区,186402,30.69,961.7,8.0,1,0.0,50.0
敏彦,原口,2013,51,0,0,0,共産,新,党県書記長・党県政策委員長・党県常任委員〈元〉党地区委員長▽球磨工高,長崎,選挙区,45638,7.51,961.7,3.7,1,0.0,4.3478260869565215
聖人,山田,2013,47,0,0,0,諸派,新,幸福の科学職員・幸福実現党県副代表〈元〉制御機器会社員▽長崎大,長崎,選挙区,15586,2.57,961.7,0.0,1,0.0,0.0
成志,馬場,2013,48,1,0,公明,自民,新,〈元〉県議長・全国県議長会副会長・党県政調会長・熊本市議▽熊本工高,熊本,選挙区,450617,60.56,884.6,42.5,1,5.3,116.3265306122449
信夫,松野,2013,62,0,0,みど,民主,現,弁護士・党県代表〈元〉法務政務官・衆院議員・県弁護士会副会長▽東大,熊本,選挙区,221553,29.77,884.6,8.0,1,0.0,4.081632653061225
伸裕,山本,2013,50,0,0,0,共産,新,党県国政対策委員長・党県委員〈元〉党県書記長・県議秘書▽熊本大,熊本,選挙区,58982,7.93,884.6,3.7,1,0.0,4.081632653061225
隆志,守田,2013,63,0,0,0,諸派,新,幸福の科学職員・幸福実現党県副代表〈元〉県職員▽熊本大,熊本,選挙区,12944,1.74,884.6,0.0,1,0.0,0.0
陽輔,礒崎,2013,55,1,1,公明,自民,現,首相補佐官〈元〉参院文教科学委員長・総務省大臣官房参事官▽東大,大分,選挙区,250915,49.98,790.2,42.5,1,5.3,81.81818181818183
慎太郎,後藤,2013,38,0,0,生活 / 社民 / みど,無所,新,農業生産法人代表〈元〉大分市農協職員▽大分大院,大分,選挙区,137049,27.3,790.2,0.0,1,0.0,38.63636363636363
魁,山下,2013,36,0,0,0,共産,新,党県委員〈元〉日本民主青年同盟県委員長▽ＮＨＫ学園高,大分,選挙区,55249,11.01,790.2,3.7,1,0.0,4.545454545454546
英樹,浦野,2013,44,0,0,0,みんな,新,社会保険労務士〈元〉東京都三鷹市議・出版社員▽都立大,大分,選挙区,44542,8.87,790.2,3.1,1,0.0,0.0
敦子,上田,2013,46,0,0,0,諸派,新,幸福実現党県副代表・幸福の科学巡回支部長〈元〉大分銀行員▽同志社女大,大分,選挙区,14265,2.84,790.2,0.0,1,0.0,0.0
誠,長峯,2013,43,1,0,公明,自民,新,〈元〉都城市長・県議・参院議員秘書▽早大,宮崎,選挙区,314599,69.32,872.3,42.5,1,5.3,117.94871794871796
誠一郎,道休,2013,60,0,0,0,民主,新,党県副代表〈元〉衆院議員・野村証券社員▽米コロンビア大院,宮崎,選挙区,84443,18.61,872.3,8.0,1,0.0,17.94871794871795
一人,来住,2013,68,0,0,0,共産,新,党県委員〈元〉都城市議・党地区委員長,宮崎,選挙区,39673,8.74,872.3,3.7,1,0.0,5.128205128205128
一郎,河野,2013,53,0,0,0,諸派,新,幸福実現党県副代表・幸福の科学支部長〈元〉日向養護学校教諭▽宮崎大,宮崎,選挙区,15144,3.34,872.3,0.0,1,0.0,0.0
秀久,尾辻,2013,72,1,4,公明,自民,現,日本遺族会長〈元〉参院副議長・厚労相・財務副大臣▽東大中退,鹿児島,選挙区,403450,59.02,962.7,42.5,1,5.3,121.56862745098039
稲生,皆吉,2013,63,0,0,0,民主,新,党県幹事長〈元〉衆院議員・連合鹿児島副会長・鹿児島市職員▽立命大,鹿児島,選挙区,120803,17.67,962.7,8.0,1,0.0,1.9607843137254901
仁子,岩重,2013,39,0,0,0,維新,新,〈元〉青年海外協力隊員・ＩＴ会社員▽英バーミンガム大院,鹿児島,選挙区,99355,14.53,962.7,2.7,1,0.0,0.0
寛,野口,2013,67,0,0,0,共産,新,党地区委員長・党県委員〈元〉西之表市議・高校教諭▽九大,鹿児島,選挙区,50341,7.36,962.7,3.7,1,0.0,1.9607843137254901
力,松沢,2013,31,0,0,0,諸派,新,幸福の科学職員・幸福実現党県青年部長〈元〉小売業社員▽鹿児島大,鹿児島,選挙区,9629,1.41,962.7,0.0,1,0.0,0.0
慶子,糸数,2013,65,1,2,生活 / 共産 / 社民 / みど,諸派,現,沖縄社会大衆党委員長〈元〉県議・専門学校講師・バス会社員▽読谷高,沖縄,選挙区,294420,51.13,1553.6,0.0,1,0.0,0.0
竜郎,金城,2013,49,0,0,0,諸派,新,幸福の科学支部長〈元〉沖縄気象台職員▽沖縄国際大,沖縄,選挙区,9462,1.64,1553.6,0.0,1,0.0,0.0
政晃,安里,2013,45,0,0,公明,自民,新,社福法人理事長〈元〉県教育委員▽東京観光専門学校,沖縄,選挙区,261392,45.4,1553.6,42.5,1,5.3,68.75
メリー,新島,2013,67,0,0,0,無所,新,〈元〉バスガイド・専門学校非常勤講師▽首里高,沖縄,選挙区,10505,1.82,1553.6,0.0,1,0.0,18.75
